2022-05-21 03:31:59+00:00,b'#BloodSisters \n#NollywoodNigeria\n#Netflix \nWell done my home country Nigeria \xf0\x9f\x87\xb3\xf0\x9f\x87\xac  \xf0\x9f\x87\xb3\xf0\x9f\x87\xac \xf0\x9f\x91\x8f\xf0\x9f\x91\x8f\xf0\x9f\x91\x8f\xf0\x9f\x91\x8d\xf0\x9f\x91\x8d\xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\x8e\x89\xf0\x9f\x8e\x8a\xf0\x9f\x8e\x88#Proud.'
2022-05-21 03:22:51+00:00,b'RT @Officialglow_: #SaveTitilayoAyeni \n@mrmacaronii\n@nathanielblow\n@DavidOyedepoMin\n@pastorpoju @pastorbolaji\n@TIjogun @DunsinOyekan\n@drton\xe2\x80\xa6'
2022-05-21 02:48:18+00:00,"b'RT @NetflixNaija: This friendship is thicker than water and bound by blood. #BloodSisters featuring Ini-Dima Okojie, Nancy Isime, Deyemi Ok\xe2\x80\xa6'"
2022-05-21 02:02:57+00:00,"b""RT @NetflixNaija: In Sarah's world, Kola makes all the decisions. What happens when she finally stands up for herself? #BloodSisters is now\xe2\x80\xa6"""
2022-05-21 01:56:30+00:00,b'All of unah Wey hype #BloodSisters unh no go make heaven period \nAwon werey fe act American gangster fun wa\n.\n#toto #room102 #ashewo #wizkid'
2022-05-21 01:38:04+00:00,b'RT @Kermah459: Nigerians made history with this series #BloodSisters . Not a single flaw in this production https://t.co/aSf0W8etUY'
2022-05-21 01:14:00+00:00,b'RT @_deyemi: Looooool\xe2\x80\xa6. its like these @ikorodu_bois will be the ones to do Season 2 of #BloodSisters #BloodSistersNetflix \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\n\n@NetflixNai\xe2\x80\xa6'
2022-05-21 01:10:26+00:00,b'RT @HASPhD: Oh Yes!\n\n#BloodSisters https://t.co/iDLSCFuIGo'
2022-05-21 01:09:06+00:00,b'RT @Damiar0s: FJ spent most of his scenes looking confused \xf0\x9f\x98\x82\xf0\x9f\xa4\xa3\n #BloodSisters https://t.co/e6o6ZFSodz'
2022-05-21 00:48:32+00:00,"b'RT @EsimbiMag: La s\xc3\xa9rie BLOOD SISTERS continue de faire parler d\xe2\x80\x99elle, cette fois-ci pour le stylisme de ses acteurs. La mode nig\xc3\xa9rienne es\xe2\x80\xa6'"
2022-05-20 23:56:24+00:00,b'It\xe2\x80\x99s crazy how wofaidada isn\xe2\x80\x99t getting her own credit in blood sisters\xf0\x9f\x99\x84\nShe made akin see the truth about kola and exposed him. \n#BloodSisters'
2022-05-20 23:43:48+00:00,b'About to start #BloodSisters\xe2\x80\xa6 let\xe2\x80\x99s see how this goes!'
2022-05-20 23:31:25+00:00,b'RT @_deyemi: A nice pic with my fav character Timeyin @genovevaumeh set awon #GenGeng #Generators #BloodSisters #BloodSistersNetflix \xf0\x9f\x98\x81 http\xe2\x80\xa6'
2022-05-20 23:28:26+00:00,b'RT @_deyemi: A nice pic with my fav character Timeyin @genovevaumeh set awon #GenGeng #Generators #BloodSisters #BloodSistersNetflix \xf0\x9f\x98\x81 http\xe2\x80\xa6'
2022-05-20 23:17:22+00:00,"b'RT @ISWISPodcast: \xe2\x80\x9cTimeyin shoot her!\xe2\x80\x9d FK was all of us at the end of #BloodSisters. \xf0\x9f\x98\x82\xf0\x9f\x98\x82\nThen Brother Blade, Ahn Ahn - Best in Assasin! \n\nHa\xe2\x80\xa6'"
2022-05-20 23:16:19+00:00,"b'Uncle B was low budget tommy Egan,. Hmmm #BloodSisters,#tweetsavages https://t.co/hywFwekWbb'"
2022-05-20 23:11:20+00:00,b'#BloodSisters\nLa matriarche est vraiment une sorci\xc3\xa8re mais sa garde robe \xf0\x9f\x91\x8c\xf0\x9f\x8f\xbf'
2022-05-20 23:10:51+00:00,"b""#BloodSisters \nTu devines le sc\xc3\xa9nario assez vite. \nC'est \xc3\xa0 la fois un peu b\xc3\xa2cl\xc3\xa9, bord\xc3\xa9lique mais \xc3\xa7a reste divertissant."""
2022-05-20 23:09:37+00:00,"b'RT @mummy_craig: This is how some of us see pictures and say GOD WHEN \xf0\x9f\x98\xab\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\xa4\xa6\xf0\x9f\x8f\xbe\nMai dear , that your shukunu relationship gives more joy than t\xe2\x80\xa6'"
